Speed,Year,t2,t3,const2,const3
74.602,1911,0,0,0,0
78.719,1912,0,0,0,0
75.933,1913,0,0,0,0
82.474,1914,0,0,0,0
89.84,1915,0,0,0,0
84.001,1916,0,0,0,0
88.05,1919,1.5,0,1,0
88.618,1920,2.5,0,1,0
89.621,1921,3.5,0,1,0
94.484,1922,4.5,0,1,0
90.954,1923,5.5,0,1,0
98.234,1924,6.5,0,1,0
101.127,1925,7.5,0,1,0
95.904,1926,8.5,0,1,0
97.545,1927,9.5,0,1,0
99.482,1928,10.5,0,1,0
97.585,1929,11.5,0,1,0
100.448,1930,12.5,0,1,0
96.629,1931,13.5,0,1,0
104.144,1932,14.5,0,1,0
104.162,1933,15.5,0,1,0
104.863,1934,16.5,0,1,0
106.24,1935,17.5,0,1,0
109.069,1936,18.5,0,1,0
113.58,1937,19.5,0,1,0
117.2,1938,20.5,0,1,0
115.035,1939,21.5,0,1,0
114.277,1940,22.5,0,1,0
115.117,1941,23.5,0,1,0
114.82,1946,28.5,2.5,1,1
116.338,1947,29.5,3.5,1,1
119.814,1948,30.5,4.5,1,1
121.327,1949,31.5,5.5,1,1
124.002,1950,32.5,6.5,1,1
126.244,1951,33.5,7.5,1,1
128.922,1952,34.5,8.5,1,1
128.74,1953,35.5,9.5,1,1
130.84,1954,36.5,10.5,1,1
128.213,1955,37.5,11.5,1,1
128.49,1956,38.5,12.5,1,1
135.601,1957,39.5,13.5,1,1
133.791,1958,40.5,14.5,1,1
135.857,1959,41.5,15.5,1,1
138.767,1960,42.5,16.5,1,1
139.13,1961,43.5,17.5,1,1
140.293,1962,44.5,18.5,1,1
143.137,1963,45.5,19.5,1,1
147.35,1964,46.5,20.5,1,1
150.686,1965,47.5,21.5,1,1
144.317,1966,48.5,22.5,1,1
151.207,1967,49.5,23.5,1,1
152.882,1968,50.5,24.5,1,1
156.867,1969,51.5,25.5,1,1
155.749,1970,52.5,26.5,1,1
157.735,1971,53.5,27.5,1,1
