LectureNo,Week,LectureTitle,Slug,Presenter,IncludeInBook,IncludeInSlides
1,1,Paper Overview,paper-overview,Jonathan Godfrey,yes,no
2,1,The Basics of Regression Modelling,regression-basics,Jonathan Godfrey,yes,no
3,1,Simple Linear Regression,simple-linear-regression,Jonathan Godfrey,yes,no
4,1,Linear Regression Modelling with R,regression-with-r,Jonathan Godfrey,yes,no
5,2,Checking the Assumptions,checking-assumptions,Jonathan Godfrey,yes,no
6,2,Outliers and Influential Points,outliers-influential-points,Jonathan Godfrey,yes,no
7,2,What to do When Assumptions Fail,assumptions-fail,Jonathan Godfrey,yes,no
8,3,Prediction in Simple Linear Regression,prediction-simple-regression,Jonathan Godfrey,yes,no
9,3,Introduction to Multiple Linear Regression,multiple-regression,Jonathan Godfrey,yes,no
10,3,Testing in Multiple Regression Models (1),testing-multiple-regression-1,Jonathan Godfrey,yes,no
11,4,Testing in Multiple Regression Models (2),testing-multiple-regression-2,Jonathan Godfrey,yes,no
12,4,Basic Matrix Algebra,matrix-algebra,Jonathan Godfrey,yes,no
13,4,Matrices and Linear Regression Models,matrices-linear-regression,Jonathan Godfrey,yes,no
14,5,Comparison of Multiple Linear Regression Models,model-comparison-1,Jonathan Godfrey,yes,no
15,5,Models with binary predictors,binary-predictors,Jonathan Godfrey,yes,no
16,6,Polynomial Regression Models,polynomial-regression,Jonathan Godfrey,yes,no
17,6,Models using orthogonal polynomials,orthogonal-polynomials,Jonathan Godfrey,yes,no
18,6,Piecewise Regression Models,piecewise-regression,Jonathan Godfrey,yes,no
19,7,Linear Models with One Factor,one-way-models-1,Jonathan Godfrey,yes,no
20,7,Diagnostics and Multiple Comparisons for Oneway ANOVA,one-way-models-2,Jonathan Godfrey,yes,no
21,7,Factor or Numerical Covariate?,factor-or-covariate,Jonathan Godfrey,yes,no
22,8,Introduction to the Two Factor Model,two-factor-model,Jonathan Godfrey,yes,no
23,8,Orthogonal Factorial Models,orthogonal-factorial-models,Jonathan Godfrey,yes,no
24,8,Factors with Interactions,factor-interactions,Jonathan Godfrey,yes,no
25,9,The General Linear Model,general-linear-model,Nick Knowlton,yes,yes
26,9,Comparison of General Linear Models,model-comparison,Nick Knowlton,yes,yes
27,9,Variable Selection,variable-selection,Nick Knowlton,yes,yes
28,10,Stepwise and Penalised Regression,stepwise-penalised-regression,Nick Knowlton,yes,yes
29,10,Multicollinearity and Ridge Regression,multicollinearity-ridge,Nick Knowlton,yes,yes
30,10,Weighted regression,weighted-regression,Nick Knowlton,yes,yes
31,11,Splines and LOESS: Flexible Regression Curves,splines-loess,Nick Knowlton,yes,yes
32,11,Time-Indexed Regression: From Flexible Models to Trend,time-indexed-regression,Nick Knowlton,yes,yes
33,11,Regression Models for Trend and Seasonality,trend-seasonality,Nick Knowlton,yes,yes
34,12,Diagnosing Autocorrelated Errors,diagnosing-autocorrelation,Nick Knowlton,yes,yes
35,12,Regression with Autoregressive Errors,autoregressive-errors,Nick Knowlton,yes,yes
36,0,Appendix: Introduction to R and RStudio,intro-r-rstudio,Jonathan Godfrey,yes,no
37,0,Appendix: Regression through the origin,regression-through-origin,Jonathan Godfrey,yes,no
38,0,Appendix: Transformations in regression models,transformations,Jonathan Godfrey,yes,no
39,0,Appendix: Models with Many Factors,many-factors,Jonathan Godfrey,yes,no
40,0,Appendix: Nonlinear least squares,nonlinear-least-squares,Jonathan Godfrey,yes,no
