Bill,Days,Estimate,Guestwks,Month,Monthlab,Time,Year
70.18,29,0,0,5,M,5,94
79.05,30,1,0,6,J,6,94
78.6,27,0,0,7,J,7,94
81.45,29,1,0,8,A,8,94
174.25,28,0,4,9,S,9,94
115.2,28,1,0,10,O,10,94
46.4,28,0,0,11,N,11,94
73.26,29,1,0,12,D,12,94
71.46,29,0,3,1,J,13,95
74,33,1,0,2,F,14,95
53.25,27,0,0,3,M,15,95
66.14,29,1,0,4,A,16,95
85.71,30,0,2,5,M,17,95
93.59,32,1,0,6,J,18,95
138.35,27,0,3.5,7,J,19,95
124.58,29,1,0,8,A,20,95
90.38,25,0,0,9,S,21,95
115.04,31,1,0,10,O,22,95
95.99,28,0,2,11,N,23,95
94.31,29,1,0,12,D,24,95
48.35,27,0,1,1,J,25,96
87.48,38,1,1,2,F,26,96
82.08,31,0,0,3,M,27,96
75.79,29,1,0,4,A,28,96
112.88,29,0,3.5,5,M,29,96
107.01,30,1,4,6,J,30,96
174.27,27,0,4,7,J,31,96
201.31,32,1,4.5,8,A,32,96
133.46,25,0,3.5,9,S,33,96
172.36,31,1,4.5,10,O,34,96
87.09,25,0,3.5,11,N,35,96
121.39,32,1,4.5,12,D,36,96
119.62,27,0,4,1,J,37,97
144.23,39,1,5.5,2,F,38,97
116.8,31,0,4.5,3,M,39,97
113.58,29,1,2,4,A,40,97
80.98,29,0,0,5,M,41,97
114.1,30,1,0,6,J,42,97
82.96,28,0,0,7,J,43,97
123.31,31,1,0,8,A,44,97
130.51,25,0,1,9,S,45,97
129.62,31,1,4.5,10,O,46,97
98.02,25,0,3.5,11,N,47,97
120.14,32,1,4.5,12,D,48,97
95.81,27,0,4,1,J,49,98
116.64,38,1,3,2,F,50,98
106.98,28,0,5.5,3,M,51,98
115.03,32,1,3.5,4,A,52,98
59.22,25,0,0,5,M,53,98
