SLAnumber,SLAname,AreaHSnumber,AHSname,StdCostRatio,Supplybeds10000,StdMortalityRatio,Population,ARIAscore,Distance,EducOccScore,ATSI,EconResourcesScore,DisadvantageScore,SydneyMetro,MetroIllawarraHunterCCoast,RuralUrbanIndex,Overcrowded,Oneparentfamilies,Manualclericalwork,Highereduc,Publichousing,Lowincome26000,Verylowincome15600,Elderlyalone,Leftschool15yo,Unemployed,Nocar
10150,Ashfield,100,Central Sydney Area Health Service,85.4741306,38.82929,102.5784,41819,0,10,107.114,0.6737,99.4176,102.57,1,1,17,0.031634,0.085436,0.52062,0.174514,0.011615,0.243219,0.101186,0.03386,0.099234,0.085592,0.24882
11300,Burwood,100,Central Sydney Area Health Service,99.3601946,39.39423,91.35775,29805,0,9,106.85,0.4339,102.474,102.478,1,1,17,0.040168,0.085727,0.516471,0.155674,0.030041,0.236353,0.104832,0.036635,0.102278,0.076923,0.225106
11550,Canterbury,100,Central Sydney Area Health Service,88.4099985,31.9598,90.07983,139483.5,0,8,96.4768,0.5447,95.8926,95.0379,1,1,17,0.037604,0.108348,0.654102,0.100136,0.060904,0.307451,0.129933,0.030145,0.105916,0.121369,0.191982
11900,Concord,100,Central Sydney Area Health Service,100.268592,34.59826,82.81286,24892,0,0,106.555,0.3341,109.035,105.948,1,1,17,0.026958,0.079809,0.508933,0.134706,0.019357,0.18103,0.075619,0.03595,0.124852,0.051368,0.130832
12550,Drummoyne,100,Central Sydney Area Health Service,97.5227313,36.57266,87.14228,32460,0,7,110.236,0.2974,108.764,106.947,1,1,17,0.018574,0.090008,0.414625,0.174795,0.041438,0.197103,0.084303,0.04887,0.132468,0.043074,0.148978
14800,Leichhardt,100,Central Sydney Area Health Service,99.4803881,29.7233,132.2147,61463,0,7,115.109,1.1406,104.749,106.11,1,1,17,0.012571,0.102617,0.358955,0.229298,0.087825,0.186433,0.087973,0.032656,0.102257,0.062716,0.24628
15200,Marrickville,100,Central Sydney Area Health Service,92.570635,28.53841,129.1356,79481.5,0,8,104.14,1.4392,97.8537,98.0581,1,1,17,0.034969,0.101425,0.539103,0.153439,0.02449,0.253763,0.114962,0.023732,0.09244,0.112007,0.27887
17100,Strathfield,100,Central Sydney Area Health Service,96.0422231,39.91195,95.65719,27636.5,0,7,109.8,0.4608,106.162,105.124,1,1,17,0.029034,0.093688,0.456893,0.16211,0.056619,0.217162,0.097375,0.034634,0.095915,0.077002,0.172232
14000,Hornsby,105,Northern Sydney Area Health Service,79.6842891,29.31316,69.08645,145644.5,0.8502,0,113.892,0.2647,115.673,112.597,1,1,16,0.017814,0.073084,0.4132,0.19058,0.012699,0.136906,0.050608,0.028557,0.119331,0.039441,0.088514
14100,Hunters Hill,105,Northern Sydney Area Health Service,84.5897343,41.95225,93.93341,12845,0,5,117.057,0.2674,115.603,112.846,1,1,17,0.013062,0.066171,0.309778,0.197844,0.078806,0.134878,0.057963,0.041858,0.101345,0.036635,0.121927
14500,Ku-ring-gai,105,Northern Sydney Area Health Service,77.2253751,31.44018,59.38019,105880.5,0.0298,6,120.665,0.0939,124.131,117.421,1,1,17,0.011643,0.064787,0.292089,0.248748,0.001112,0.09578,0.038676,0.033807,0.078106,0.034612,0.060511
14700,Lane Cove,105,Northern Sydney Area Health Service,81.8032672,38.11697,76.9827,31442,0,4,118.833,0.1827,114.506,114.312,1,1,17,0.012475,0.071478,0.330605,0.248945,0.018349,0.120859,0.046461,0.040456,0.086359,0.038031,0.135442
15150,Manly,105,Northern Sydney Area Health Service,95.0055664,45.60949,86.69283,37879.5,0.0038,0,114.216,0.2675,111.127,111.112,1,1,17,0.011091,0.079415,0.372728,0.210313,0.018176,0.137458,0.04741,0.048063,0.116476,0.044959,0.178761
15350,Mosman,105,Northern Sydney Area Health Service,81.0775661,45.94626,68.46404,27711,0,3,120.775,0.1021,118.247,116.476,1,1,17,0.008053,0.06518,0.265238,0.275404,0.006316,0.076386,0.02694,0.05344,0.07747,0.032701,0.16152
15950,North Sydney,105,Northern Sydney Area Health Service,78.0672002,37.61587,67.40726,57113,0,0,120.73,0.1636,110.132,114.067,1,1,17,0.005091,0.062818,0.278754,0.300762,0.020864,0.102827,0.04443,0.048466,0.082673,0.038424,0.212943
16370,Pittwater,105,Northern Sydney Area Health Service,90.8795587,32.88562,77.32499,55263.5,0.3511,0,109.911,0.2915,115.188,111.605,1,1,16,0.01624,0.082391,0.447558,0.16206,0.000164,0.140919,0.05001,0.0338,0.138523,0.036485,0.071693
16700,Ryde,105,Northern Sydney Area Health Service,88.7079319,38.52297,84.5097,96966,0,0,109.983,0.2741,106.519,107.342,1,1,17,0.023627,0.0856,0.473296,0.179067,0.037189,0.20184,0.08212,0.036515,0.122741,0.052583,0.137666
18000,Warringah,105,Northern Sydney Area Health Service,97.1860914,40.18483,79.31763,131795,0.1488,9,107.502,0.3661,112.683,109.034,1,1,16,0.020465,0.08346,0.498623,0.154458,0.017024,0.154906,0.053913,0.036147,0.151844,0.035011,0.111032
18250,Willoughby,105,Northern Sydney Area Health Service,79.5510159,38.205,72.74951,57096,0,3,116.592,0.1712,113.838,112.086,1,1,17,0.018304,0.080841,0.347378,0.230743,0.017823,0.141317,0.060385,0.040439,0.091616,0.040639,0.142732
10200,Auburn,120,Western Sydney Area Health Service,96.8449001,27.71257,96.41352,55172,0,0,94.7917,0.8262,94.9699,93.1937,1,1,17,0.05353,0.103142,0.688011,0.095999,0.040339,0.321225,0.133879,0.028415,0.104437,0.143019,0.208835
