Mar.Stat,Educgrp,Gender,Agegrp,Ethnicty,SES,PersIncm,FamIncm,Y1,Newspaper,Magazines,sqrtY3,lnMags1,AnyPaper,AvidReader
1,3,2,15,2,4,4,6,3,12,5,2.236067977,1.791759469,1,1
1,7,2,14,8,1,1,5,4,0,0,0,0,0,0
1,5,2,14,2,3,1,3,4,0,3,1.732050808,1.386294361,0,0
2,2,2,6,2,4,1,8,3,5,3,1.732050808,1.386294361,1,0
1,7,1,13,2,2,4,5,1,6,5,2.236067977,1.791759469,1,0
3,2,1,15,2,2,4,3,5,11,11,3.31662479,2.48490665,1,1
1,2,2,11,3,3,2,3,6,0,1,1,0.693147181,0,0
1,2,1,17,1,5,3,4,6,4,2,1.414213562,1.098612289,1,0
1,3,2,13,2,5,1,4,3,6,7,2.645751311,2.079441542,1,0
1,2,1,13,2,4,3,4,2,1,3,1.732050808,1.386294361,1,0
1,2,1,16,2,7,6,5,2,6,3,1.732050808,1.386294361,1,0
1,3,2,12,2,3,1,4,3,6,3,1.732050808,1.386294361,1,0
1,2,2,18,2,7,1,1,6,6,1,1,0.693147181,1,0
1,2,2,16,2,5,2,2,2,6,7,2.645751311,2.079441542,1,0
3,2,2,20,2,7,1,1,6,0,0,0,0,0,0
1,5,2,12,2,4,1,1,5,6,5,2.236067977,1.791759469,1,0
1,2,2,16,2,2,1,1,4,6,6,2.449489743,1.945910149,1,0
2,1,2,3,2,2,1,1,,0,4,2,1.609437912,0,0
1,2,1,12,2,7,1,1,4,0,4,2,1.609437912,0,0
1,5,1,14,2,3,5,4,2,2,0,0,0,1,0
2,4,2,11,2,6,2,3,2,4,3,1.732050808,1.386294361,1,0
1,1,2,20,2,5,1,1,3,6,6,2.449489743,1.945910149,1,0
3,2,2,15,2,7,1,1,6,0,3,1.732050808,1.386294361,0,0
2,4,1,11,3,7,1,1,2,2,10,3.16227766,2.397895273,1,0
2,2,2,4,2,2,1,5,,6,6,2.449489743,1.945910149,1,0
3,2,2,13,3,7,2,1,5,5,5,2.236067977,1.791759469,1,0
3,2,2,11,3,7,2,1,6,0,0,0,0,0,0
2,7,1,12,2,2,3,2,2,0,0,0,0,0,0
3,3,2,14,2,7,2,1,4,0,3,1.732050808,1.386294361,0,0
1,2,2,19,1,5,1,1,6,2,5,2.236067977,1.791759469,1,0
2,5,1,11,2,4,3,4,2,6,2,1.414213562,1.098612289,1,0
1,4,2,13,1,3,1,6,7,5,6,2.449489743,1.945910149,1,0
1,4,1,20,2,3,1,2,1,6,8,2.828427125,2.197224577,1,0
1,2,2,20,2,7,1,1,1,6,3,1.732050808,1.386294361,1,0
2,2,1,6,2,2,1,7,2,1,13,3.605551275,2.63905733,1,0
1,3,1,16,2,2,8,7,3,12,2,1.414213562,1.098612289,1,1
