Year,Quarter,Sales,PDI,Time
1964,1,37,109,1964
1964,2,33.5,115,1964.25
1964,3,30.8,113,1964.5
1964,4,37.9,116,1964.75
1965,1,37.4,118,1965
1965,2,31.6,120,1965.25
1965,3,34,122,1965.5
1965,4,38.1,124,1965.75
1966,1,40,126,1966
1966,2,35,128,1966.25
1966,3,34.9,130,1966.5
1966,4,40.2,132,1966.75
1967,1,41.9,133,1967
1967,2,34.7,135,1967.25
1967,3,38.8,138,1967.5
1967,4,43.7,140,1967.75
1968,1,44.2,143,1968
1968,2,40.4,147,1968.25
1968,3,38.4,148,1968.5
1968,4,45.4,151,1968.75
1969,1,44.9,153,1969
1969,2,41.6,156,1969.25
1969,3,44,160,1969.5
1969,4,48.1,163,1969.75
1970,1,49.7,166,1970
1970,2,43.9,171,1970.25
1970,3,41.6,174,1970.5
1970,4,51,175,1970.75
1971,1,52,180,1971
1971,2,46.2,184,1971.25
1971,3,47.1,187,1971.5
1971,4,52.7,189,1971.75
1972,1,52.2,191,1972
1972,2,47,193,1972.25
1972,3,47.8,194,1972.5
1972,4,52.8,196,1972.75
1973,1,54.1,199,1973
1973,2,49.5,201,1973.25
1973,3,49.5,202,1973.5
1973,4,54.3,204,1973.75
