"Quarter","Sydney","Melbourne","Brisbane","Adelaide","Perth","Hobart","Darwin","Canberra","WtAve"
"Jun.1986",53.5,63.4,64.6,83.3,56.7,80.5,100,79.5,61.3
"Sep.1986",53.8,64.4,63.4,82.1,57.9,80.3,98.4,77.4,61.5
"Dec.1986",54.4,65.4,63.3,82.8,58.9,81.1,98.1,77.5,62.2
"Mar.1987",55.6,65.8,64,83.2,59.5,83.5,97.3,76.4,62.9
"Jun.1987",56.4,66.9,64.7,82.3,60.1,83,95.6,75.2,63.6
"Sep.1987",58.4,67.1,65.7,83.5,61.4,82.3,97.8,76.3,64.7
"Dec.1987",62.1,70.7,67.1,84.8,62.8,83.4,97.4,79.8,67.8
"Mar.1988",66.5,71.8,71.3,85.9,65.9,86,100.6,82.2,70.8
"Jun.1988",73.5,73.3,73.2,87,70.8,86,91.1,86.1,74.6
"Sep.1988",83.9,79.8,76.7,87.9,78.1,89.6,94.3,89.6,81.9
"Dec.1988",93.4,89.1,83.8,92.1,84,92.7,97.7,92.8,90.1
"Mar.1989",101.5,97.2,89.9,92.5,93.7,94.3,101.7,96.1,97.4
"Jun.1989",101.8,99.5,94.2,92.7,100.2,96,101.5,97.1,99.3
"Sep.1989",101.3,99.2,95.4,97.1,97.9,97.8,99.6,97.5,99.3
"Dec.1989",98.8,100.5,98.1,101.1,101.3,100.5,97.3,100.5,99.6
"Mar.1990",99.8,99.8,101.3,99.7,100.8,100.6,99.9,100.9,100.1
"Jun.1990",100.1,100.4,105.1,101.9,99.9,101,103.3,101,101
"Sep.1990",100.1,96,109,103.4,97.2,101.3,107.7,102.6,100.1
"Dec.1990",99.4,97.4,112.6,104.8,94.8,107.2,108.2,107.1,100.7
"Mar.1991",100.6,93,116.1,110.7,93.9,106.2,110.1,108.6,100.6
"Jun.1991",101.9,94.4,119.5,105.9,93.3,110.4,111,110.9,101.8
"Sep.1991",104.5,98.7,124,104.5,94,110.9,111.8,120.4,104.9
"Dec.1991",104.7,96.9,126.8,105.8,93.3,112.5,113.9,123.7,104.9
"Mar.1992",104.8,92.5,130.2,108.7,93.8,112.9,116.3,125.3,104.2
"Jun.1992",105.8,91.1,131.6,107.1,95.1,111.5,120.2,128.2,104.5
"Sep.1992",103.7,91.9,134.4,107.6,96.9,114,126.5,132.9,104.6
"Dec.1992",104.6,94.1,133.5,106.2,98.4,115.9,129.3,133.1,105.6
"Mar.1993",106.6,92.7,135.4,110.3,99.1,117.9,133.6,136.8,106.6
"Jun.1993",106.3,93.8,136.2,116.4,99.3,118.7,144.9,133.8,107.3
"Sep.1993",107.4,93.9,136,108.2,101,119.7,146.9,133.4,107.4
"Dec.1993",107.1,95.9,137.5,107.6,103.7,121.4,154.5,135.3,108.4
"Mar.1994",109.3,94.8,139.3,109.8,107.7,123,156.7,134.9,109.6
"Jun.1994",111.4,96.3,139.3,110.6,106.4,126,164.5,133.8,110.9
"Sep.1994",114.3,97.2,139.3,113.3,108,128.2,173,132.3,112.6
"Dec.1994",112.4,97.9,140,110.8,109.1,128.2,177.1,130.5,112.1
"Mar.1995",114.9,98,140.2,111.6,109.1,129.4,179.1,130.8,113.2
"Jun.1995",113.2,98.6,137.7,111.2,109.7,130.1,183,128.1,112.4
"Sep.1995",115.8,96.9,137,110,108.6,129.2,184.2,128,112.6
"Dec.1995",115.2,97.3,137,107.5,108.3,129.1,187.9,128.6,112.4
"Mar.1996",115.4,97.1,136.2,107.7,107.5,129.8,190,127,112.2
"Jun.1996",116.7,99.1,137.1,107.9,108.2,131.2,190,127.4,113.6
"Sep.1996",117.5,99.4,137.5,107.8,108,130.2,191.8,127.2,114
"Dec.1996",118,101.2,136.1,106.7,107.5,128.5,195.1,126.6,114.3
"Mar.1997",119.4,101.3,136,109.3,110.4,130.4,198.4,124.3,115.3
"Jun.1997",120.5,103.6,139,109,110.9,124.9,202.2,127.3,116.8
