Date,RoomNights,AvePrice
1980-01-01,276986,27.7
1980-02-01,260633,28.67
1980-03-01,291551,28.6
1980-04-01,275383,28.34
1980-05-01,275302,28.66
1980-06-01,231693,28.57
1980-07-01,238829,29.18
1980-08-01,274215,29.85
1980-09-01,277808,29.59
1980-10-01,299060,30.34
1980-11-01,286629,31.24
1980-12-01,232313,30.73
1981-01-01,294053,30.29
1981-02-01,267510,31.74
1981-03-01,309739,31.58
1981-04-01,280733,31.31
1981-05-01,287298,31.89
1981-06-01,235672,31.53
1981-07-01,256449,32.34
1981-08-01,288997,33.4
1981-09-01,290789,33.27
1981-10-01,321898,33.68
1981-11-01,291834,33.73
1981-12-01,241380,32.87
1982-01-01,295469,33.33
1982-02-01,258200,34.77
1982-03-01,306102,34.38
1982-04-01,281480,33.88
1982-05-01,283101,34.21
1982-06-01,237414,33.98
1982-07-01,274834,36.88
1982-08-01,299340,36.99
1982-09-01,300383,37.12
1982-10-01,340862,37.01
1982-11-01,318794,38.13
1982-12-01,265740,37.27
1983-01-01,322656,36.67
1983-02-01,281563,39.55
1983-03-01,323461,38.91
1983-04-01,312579,38.01
1983-05-01,310784,38.15
1983-06-01,262785,37.92
1983-07-01,273754,39.46
1983-08-01,320036,40.23
1983-09-01,310336,40.33
1983-10-01,342206,40.24
1983-11-01,320052,40.82
1983-12-01,265582,39.72
1984-01-01,326988,39.47
1984-02-01,300713,42.99
1984-03-01,346414,41.55
1984-04-01,317325,40.09
1984-05-01,326208,40.77
1984-06-01,270657,40.47
1984-07-01,278158,42.82
1984-08-01,324584,43.34
1984-09-01,321801,44.69
1984-10-01,343542,43.46
1984-11-01,354040,44.42
1984-12-01,278179,43.13
1985-01-01,330246,43.22
1985-02-01,307344,46.36
1985-03-01,375874,46.4
1985-04-01,335309,45.07
1985-05-01,339271,45.15
1985-06-01,280264,45.09
1985-07-01,293689,47.53
1985-08-01,341161,48.8
1985-09-01,345097,48.49
1985-10-01,368712,47.74
1985-11-01,369403,49.53
1985-12-01,288384,47.04
1986-01-01,340981,46.3
1986-02-01,319072,50.58
1986-03-01,374214,49.7
1986-04-01,344529,50.12
1986-05-01,337271,50.45
1986-06-01,281016,49.49
1986-07-01,282224,53.99
1986-08-01,320984,55.34
1986-09-01,325426,55.37
1986-10-01,366276,53.03
1986-11-01,380296,57.29
1986-12-01,300727,53.85
1987-01-01,359326,53.4
1987-02-01,327610,59.5
1987-03-01,383563,57.47
1987-04-01,352405,56.61
1987-05-01,329351,58.19
1987-06-01,294486,57.23
1987-07-01,333454,59.83
1987-08-01,334339,60.87
1987-09-01,358000,60.92
1987-10-01,396057,63
1987-11-01,386976,66.79
1987-12-01,307155,63.11
1988-01-01,363909,62.11
1988-02-01,344700,69.85
1988-03-01,397561,67.69
1988-04-01,376791,66.17
1988-05-01,337085,69.13
1988-06-01,299252,67.94
1988-07-01,323136,69.11
1988-08-01,329091,72.03
1988-09-01,346991,70.02
1988-10-01,461999,68.6
1988-11-01,436533,73.66
1988-12-01,360372,70.46
1989-01-01,415467,68.84
1989-02-01,382110,75.21
1989-03-01,432197,71.58
1989-04-01,424254,74.01
1989-05-01,386728,75.26
1989-06-01,354508,74.12
1989-07-01,375765,77.02
1989-08-01,367986,78.58
1989-09-01,402378,77.05
1989-10-01,426516,78.36
1989-11-01,433313,82.94
1989-12-01,338461,76.14
1990-01-01,416834,74.88
1990-02-01,381099,83.21
1990-03-01,445673,81.32
1990-04-01,412408,77.5
1990-05-01,393997,81.57
1990-06-01,348241,80.65
1990-07-01,380134,81.78
1990-08-01,373688,85.32
1990-09-01,393588,81.25
1990-10-01,434192,84.24
1990-11-01,430731,88.41
1990-12-01,344468,81.51
1991-01-01,411891,79.95
1991-02-01,370497,82.88
1991-03-01,437305,80.97
1991-04-01,411270,81.89
1991-05-01,385495,81.88
1991-06-01,341273,81.71
1991-07-01,384217,83.85
1991-08-01,373223,86.49
1991-09-01,415771,84.79
1991-10-01,448634,82.92
1991-11-01,454341,87.2
1991-12-01,350297,81.03
1992-01-01,419104,80.99
1992-02-01,398027,84.78
1992-03-01,456059,83.89
1992-04-01,430052,80.54
1992-05-01,399757,81.91
1992-06-01,362731,81.39
1992-07-01,384896,83.18
1992-08-01,385349,86.25
1992-09-01,432289,84.93
1992-10-01,468891,82.31
1992-11-01,442702,86.16
1992-12-01,370178,80.39
1993-01-01,439400,80.94
1993-02-01,393900,84.3
1993-03-01,468700,82.91
1993-04-01,438800,79.38
1993-05-01,430100,86.45
1993-06-01,366300,81.19
1993-07-01,391000,82.4
1993-08-01,380900,84.24
1993-09-01,431400,84.21
1993-10-01,465400,82.48
1993-11-01,471500,86.5
1993-12-01,387500,80.85
1994-01-01,446400,81.16
1994-02-01,421500,83.28
1994-03-01,504800,87.41
1994-04-01,492071,79.9
1994-05-01,421253,80.94
1994-06-01,396682,81.76
1994-07-01,428000,84.87
1994-08-01,421900,87.3
1994-09-01,465600,87.02
1994-10-01,525793,87.49
1994-11-01,499855,87.77
1994-12-01,435287,85.46
