date,day_index,rented_bike_count,mean_temperature,mean_humidity,mean_wind_speed,mean_visibility,mean_dew_point_temperature,total_solar_radiation,total_rainfall,total_snowfall,season,holiday_any,functioning_day_all
2017-12-01,1,9539,-2.4541666666666666,45.875,1.5375,1870.75,-13.545833333333334,5.97,0,0,Winter,no,yes
2017-12-02,2,8523,1.325,61.958333333333336,1.7125,1471.0833333333333,-5.716666666666667,6.33,0,0,Winter,no,yes
2017-12-03,3,7222,4.875,81.54166666666667,1.6125,455.75,1.8833333333333333,3.01,4,0,Winter,no,yes
2017-12-04,4,8729,-0.30416666666666664,52.5,3.45,1362.8333333333333,-9.925,6.79,0.1,0,Winter,no,yes
2017-12-05,5,8307,-4.458333333333333,36.416666666666664,1.1083333333333334,1959.4583333333333,-17.425,0.86,0,0,Winter,no,yes
2017-12-06,6,6669,0.0458333333333333,70.79166666666667,0.6958333333333333,1186.875,-5.1875,6.140000000000001,1.3,8.6,Winter,no,yes
2017-12-07,7,8549,1.0916666666666666,67.54166666666667,1.6916666666666667,949.4166666666666,-5.0125,5.85,0,10.4,Winter,no,yes
2017-12-08,8,8032,-3.825,41.75,1.85,1872.2083333333333,-15.366666666666667,6.89,0,0,Winter,no,yes
2017-12-09,9,7233,-0.8458333333333333,46,1.0791666666666666,1860.9583333333333,-11.233333333333334,6.32,0,0,Winter,no,yes
2017-12-10,10,3453,1.1916666666666667,69.70833333333333,2.004166666666667,1043.0416666666667,-4.033333333333333,2.08,4.1,32.5,Winter,no,yes
2017-12-11,11,5848,-6.266666666666667,39.375,3.6083333333333334,1991.1666666666667,-17.983333333333334,7.01,0,0,Winter,no,yes
2017-12-12,12,5496,-9.466666666666667,42.791666666666664,2.033333333333333,1966.7916666666667,-19.9375,6.8,0,0,Winter,no,yes
2017-12-13,13,6019,-8.616666666666667,41.166666666666664,1.7875,1954.125,-19.879166666666666,6.81,0,0,Winter,no,yes
2017-12-14,14,6398,-6.870833333333334,42.541666666666664,0.8875000000000001,1617.1666666666667,-17.758333333333333,3.7,0,0,Winter,no,yes
2017-12-15,15,7198,-3.279166666666667,50.458333333333336,0.9833333333333334,1000.2083333333334,-12.325,2.41,0,0,Winter,no,yes
2017-12-16,16,4632,-5.2875,46.333333333333336,2.9541666666666666,1514.875,-16.016666666666666,6.4,0,0,Winter,no,yes
2017-12-17,17,3776,-7.0125,37.625,1.9041666666666666,1989.625,-19.275,6.51,0,0,Winter,no,yes
2017-12-18,18,2620,-1.9708333333333334,77,1.1833333333333333,629.5,-5.55,1.66,3.4000000000000004,59.7,Winter,no,yes
2017-12-19,19,4334,-3.533333333333333,50.208333333333336,2.1708333333333334,1661.2083333333333,-13.020833333333334,6.61,0,55.6,Winter,no,yes
2017-12-20,20,4568,-4.291666666666667,65.5,1.1125,1404.7083333333333,-10.004166666666666,3.36,0.2,48.3,Winter,no,yes
2017-12-21,21,5734,-0.8458333333333333,73.08333333333333,1.2166666666666666,730.375,-5.479166666666667,6.15,0,38.900000000000006,Winter,no,yes
2017-12-22,22,7184,2.7583333333333333,67.08333333333333,1,802.75,-2.8375,3.41,0,7.7,Winter,yes,yes
2017-12-23,23,6624,6.129166666666666,75.58333333333333,1.1583333333333334,338.625,2.0208333333333335,3.28,0,0,Winter,no,yes
2017-12-24,24,2014,3.4583333333333335,82.79166666666667,1.825,359.3333333333333,0.7083333333333334,0.7000000000000001,20,0,Winter,yes,yes
