date,datetime,day_index,hour,rented_bike_count,temperature,humidity,wind_speed,visibility,dew_point_temperature,solar_radiation,rainfall,snowfall,season,holiday,functioning_day
2017-12-01,2017-12-01T00:00:00Z,1,0,254,-5.2,37,2.2,2000,-17.6,0,0,0,Winter,No Holiday,Yes
2017-12-01,2017-12-01T01:00:00Z,1,1,204,-5.5,38,0.8,2000,-17.6,0,0,0,Winter,No Holiday,Yes
2017-12-01,2017-12-01T02:00:00Z,1,2,173,-6,39,1,2000,-17.7,0,0,0,Winter,No Holiday,Yes
2017-12-01,2017-12-01T03:00:00Z,1,3,107,-6.2,40,0.9,2000,-17.6,0,0,0,Winter,No Holiday,Yes
2017-12-01,2017-12-01T04:00:00Z,1,4,78,-6,36,2.3,2000,-18.6,0,0,0,Winter,No Holiday,Yes
2017-12-01,2017-12-01T05:00:00Z,1,5,100,-6.4,37,1.5,2000,-18.7,0,0,0,Winter,No Holiday,Yes
2017-12-01,2017-12-01T06:00:00Z,1,6,181,-6.6,35,1.3,2000,-19.5,0,0,0,Winter,No Holiday,Yes
2017-12-01,2017-12-01T07:00:00Z,1,7,460,-7.4,38,0.9,2000,-19.3,0,0,0,Winter,No Holiday,Yes
2017-12-01,2017-12-01T08:00:00Z,1,8,930,-7.6,37,1.1,2000,-19.8,0.01,0,0,Winter,No Holiday,Yes
2017-12-01,2017-12-01T09:00:00Z,1,9,490,-6.5,27,0.5,1928,-22.4,0.23,0,0,Winter,No Holiday,Yes
2017-12-01,2017-12-01T10:00:00Z,1,10,339,-3.5,24,1.2,1996,-21.2,0.65,0,0,Winter,No Holiday,Yes
2017-12-01,2017-12-01T11:00:00Z,1,11,360,-0.5,21,1.3,1936,-20.2,0.94,0,0,Winter,No Holiday,Yes
2017-12-01,2017-12-01T12:00:00Z,1,12,449,1.7,23,1.4,2000,-17.2,1.11,0,0,Winter,No Holiday,Yes
2017-12-01,2017-12-01T13:00:00Z,1,13,451,2.4,25,1.6,2000,-15.6,1.16,0,0,Winter,No Holiday,Yes
2017-12-01,2017-12-01T14:00:00Z,1,14,447,3,26,2,2000,-14.6,1.01,0,0,Winter,No Holiday,Yes
2017-12-01,2017-12-01T15:00:00Z,1,15,463,2.1,36,3.2,2000,-11.4,0.54,0,0,Winter,No Holiday,Yes
2017-12-01,2017-12-01T16:00:00Z,1,16,484,1.2,54,4.2,793,-7,0.24,0,0,Winter,No Holiday,Yes
2017-12-01,2017-12-01T17:00:00Z,1,17,555,0.8,58,1.6,2000,-6.5,0.08,0,0,Winter,No Holiday,Yes
2017-12-01,2017-12-01T18:00:00Z,1,18,862,0.6,66,1.4,2000,-5,0,0,0,Winter,No Holiday,Yes
2017-12-01,2017-12-01T19:00:00Z,1,19,600,0,77,1.7,2000,-3.5,0,0,0,Winter,No Holiday,Yes
2017-12-01,2017-12-01T20:00:00Z,1,20,426,-0.3,79,1.5,1913,-3.5,0,0,0,Winter,No Holiday,Yes
2017-12-01,2017-12-01T21:00:00Z,1,21,405,-0.8,81,0.8,1687,-3.6,0,0,0,Winter,No Holiday,Yes
2017-12-01,2017-12-01T22:00:00Z,1,22,398,-0.9,83,1.5,1380,-3.4,0,0,0,Winter,No Holiday,Yes
2017-12-01,2017-12-01T23:00:00Z,1,23,323,-1.3,84,1,1265,-3.6,0,0,0,Winter,No Holiday,Yes
2017-12-02,2017-12-02T00:00:00Z,2,0,328,-1.8,87,1.1,994,-3.6,0,0,0,Winter,No Holiday,Yes
2017-12-02,2017-12-02T01:00:00Z,2,1,308,-2.2,86,0.6,990,-4.2,0,0,0,Winter,No Holiday,Yes
2017-12-02,2017-12-02T02:00:00Z,2,2,262,-2.9,86,1.5,1256,-4.9,0,0,0,Winter,No Holiday,Yes
2017-12-02,2017-12-02T03:00:00Z,2,3,167,-3.5,81,2.2,1221,-6.2,0,0,0,Winter,No Holiday,Yes
2017-12-02,2017-12-02T04:00:00Z,2,4,89,-3.8,79,2,1167,-6.9,0,0,0,Winter,No Holiday,Yes
2017-12-02,2017-12-02T05:00:00Z,2,5,79,-4,79,1.5,1202,-7.1,0,0,0,Winter,No Holiday,Yes
2017-12-02,2017-12-02T06:00:00Z,2,6,70,-4.3,82,2.1,1178,-6.9,0,0,0,Winter,No Holiday,Yes
2017-12-02,2017-12-02T07:00:00Z,2,7,146,-4.4,81,2.5,1276,-7.1,0,0,0,Winter,No Holiday,Yes
2017-12-02,2017-12-02T08:00:00Z,2,8,219,-4.2,79,2.1,1436,-7.3,0.01,0,0,Winter,No Holiday,Yes
2017-12-02,2017-12-02T09:00:00Z,2,9,328,-2.9,68,1.6,1487,-7.9,0.3,0,0,Winter,No Holiday,Yes
2017-12-02,2017-12-02T10:00:00Z,2,10,334,-0.4,57,1.6,1309,-7.8,0.8,0,0,Winter,No Holiday,Yes
2017-12-02,2017-12-02T11:00:00Z,2,11,388,1.9,49,1.8,1406,-7.7,1,0,0,Winter,No Holiday,Yes
2017-12-02,2017-12-02T12:00:00Z,2,12,479,4.3,41,1.3,1666,-7.8,1.09,0,0,Winter,No Holiday,Yes
2017-12-02,2017-12-02T13:00:00Z,2,13,606,6,36,1.8,1780,-7.9,1.12,0,0,Winter,No Holiday,Yes
2017-12-02,2017-12-02T14:00:00Z,2,14,611,7.3,35,1.3,1955,-7.1,0.99,0,0,Winter,No Holiday,Yes
2017-12-02,2017-12-02T15:00:00Z,2,15,589,7.6,41,2.3,1953,-4.8,0.74,0,0,Winter,No Holiday,Yes
2017-12-02,2017-12-02T16:00:00Z,2,16,618,6.4,48,2.6,1945,-3.8,0.22,0,0,Winter,No Holiday,Yes
2017-12-02,2017-12-02T17:00:00Z,2,17,572,6,51,2.5,1891,-3.3,0.06,0,0,Winter,No Holiday,Yes
2017-12-02,2017-12-02T18:00:00Z,2,18,489,5.5,53,1.5,1697,-3.3,0,0,0,Winter,No Holiday,Yes
2017-12-02,2017-12-02T19:00:00Z,2,19,385,5,52,2.3,1666,-4,0,0,0,Winter,No Holiday,Yes
2017-12-02,2017-12-02T20:00:00Z,2,20,359,4.6,51,1.2,1585,-4.6,0,0,0,Winter,No Holiday,Yes
2017-12-02,2017-12-02T21:00:00Z,2,21,377,4.1,55,1.2,1448,-4.1,0,0,0,Winter,No Holiday,Yes
2017-12-02,2017-12-02T22:00:00Z,2,22,354,3.5,54,1.5,1446,-4.9,0,0,0,Winter,No Holiday,Yes
2017-12-02,2017-12-02T23:00:00Z,2,23,366,4,56,1,1352,-4,0,0,0,Winter,No Holiday,Yes
2017-12-03,2017-12-03T00:00:00Z,3,0,342,4,58,1.4,1296,-3.5,0,0,0,Winter,No Holiday,Yes
2017-12-03,2017-12-03T01:00:00Z,3,1,227,3.9,69,1.7,485,-1.2,0,0,0,Winter,No Holiday,Yes
2017-12-03,2017-12-03T02:00:00Z,3,2,228,3.3,79,1.4,830,0,0,0,0,Winter,No Holiday,Yes
2017-12-03,2017-12-03T03:00:00Z,3,3,117,3.4,71,1.6,1011,-1.3,0,0.5,0,Winter,No Holiday,Yes
2017-12-03,2017-12-03T04:00:00Z,3,4,76,3.5,73,1,1060,-0.8,0,0,0,Winter,No Holiday,Yes
2017-12-03,2017-12-03T05:00:00Z,3,5,32,3.9,75,1.9,914,-0.1,0,0,0,Winter,No Holiday,Yes
2017-12-03,2017-12-03T06:00:00Z,3,6,13,3.4,86,2.5,278,1.2,0,1,0,Winter,No Holiday,Yes
2017-12-03,2017-12-03T07:00:00Z,3,7,22,3.1,91,1.2,129,1.7,0,0,0,Winter,No Holiday,Yes
2017-12-03,2017-12-03T08:00:00Z,3,8,85,3.2,92,1.8,244,2,0,0,0,Winter,No Holiday,Yes
2017-12-03,2017-12-03T09:00:00Z,3,9,152,3.5,91,1.8,231,2.1,0.02,2.5,0,Winter,No Holiday,Yes
2017-12-03,2017-12-03T10:00:00Z,3,10,200,4.4,89,2.2,257,2.7,0.24,0,0,Winter,No Holiday,Yes
2017-12-03,2017-12-03T11:00:00Z,3,11,273,5.1,87,1.4,321,3.1,0.25,0,0,Winter,No Holiday,Yes
2017-12-03,2017-12-03T12:00:00Z,3,12,333,5.8,85,1.7,349,3.4,0.43,0,0,Winter,No Holiday,Yes
2017-12-03,2017-12-03T13:00:00Z,3,13,495,6.8,81,1.9,390,3.7,0.6,0,0,Winter,No Holiday,Yes
2017-12-03,2017-12-03T14:00:00Z,3,14,563,7.6,76,1.2,422,3.6,0.69,0,0,Winter,No Holiday,Yes
2017-12-03,2017-12-03T15:00:00Z,3,15,621,8,73,1.6,433,3.4,0.53,0,0,Winter,No Holiday,Yes
2017-12-03,2017-12-03T16:00:00Z,3,16,598,7.6,77,1.6,399,3.8,0.2,0,0,Winter,No Holiday,Yes
2017-12-03,2017-12-03T17:00:00Z,3,17,545,6.7,82,1.5,358,3.8,0.05,0,0,Winter,No Holiday,Yes
2017-12-03,2017-12-03T18:00:00Z,3,18,443,6,84,1.9,327,3.4,0,0,0,Winter,No Holiday,Yes
2017-12-03,2017-12-03T19:00:00Z,3,19,422,5.7,85,1.7,309,3.3,0,0,0,Winter,No Holiday,Yes
2017-12-03,2017-12-03T20:00:00Z,3,20,397,5.2,87,1.4,253,3.2,0,0,0,Winter,No Holiday,Yes
2017-12-03,2017-12-03T21:00:00Z,3,21,385,4.7,87,1.2,247,2.7,0,0,0,Winter,No Holiday,Yes
2017-12-03,2017-12-03T22:00:00Z,3,22,350,4.3,89,1.8,201,2.6,0,0,0,Winter,No Holiday,Yes
2017-12-03,2017-12-03T23:00:00Z,3,23,303,3.9,90,1.3,194,2.4,0,0,0,Winter,No Holiday,Yes
2017-12-04,2017-12-04T00:00:00Z,4,0,285,4.2,88,0.6,216,2.3,0,0,0,Winter,No Holiday,Yes
2017-12-04,2017-12-04T01:00:00Z,4,1,186,4.3,87,0.5,221,2.3,0,0,0,Winter,No Holiday,Yes
2017-12-04,2017-12-04T02:00:00Z,4,2,112,4.4,87,1.8,207,2.4,0,0,0,Winter,No Holiday,Yes
2017-12-04,2017-12-04T03:00:00Z,4,3,65,3.6,85,2.3,206,1.3,0,0,0,Winter,No Holiday,Yes
2017-12-04,2017-12-04T04:00:00Z,4,4,41,2.8,89,1.5,130,1.1,0,0,0,Winter,No Holiday,Yes
2017-12-04,2017-12-04T05:00:00Z,4,5,82,2,83,2.7,253,-0.5,0,0,0,Winter,No Holiday,Yes
2017-12-04,2017-12-04T06:00:00Z,4,6,200,1.2,76,3.7,371,-2.5,0,0.1,0,Winter,No Holiday,Yes
2017-12-04,2017-12-04T07:00:00Z,4,7,498,0.2,68,3.4,702,-5,0,0,0,Winter,No Holiday,Yes
2017-12-04,2017-12-04T08:00:00Z,4,8,937,-0.8,69,3.5,954,-5.7,0.01,0,0,Winter,No Holiday,Yes
2017-12-04,2017-12-04T09:00:00Z,4,9,509,-1.5,47,4.2,1888,-11.3,0.22,0,0,Winter,No Holiday,Yes
2017-12-04,2017-12-04T10:00:00Z,4,10,311,-1.1,40,4.5,2000,-13,0.64,0,0,Winter,No Holiday,Yes
2017-12-04,2017-12-04T11:00:00Z,4,11,379,-0.5,41,4.1,1799,-12.1,0.94,0,0,Winter,No Holiday,Yes
2017-12-04,2017-12-04T12:00:00Z,4,12,393,-0.3,38,4.8,1823,-12.9,1.11,0,0,Winter,No Holiday,Yes
2017-12-04,2017-12-04T13:00:00Z,4,13,391,0,30,5.4,1938,-15.5,1.17,0,0,Winter,No Holiday,Yes
2017-12-04,2017-12-04T14:00:00Z,4,14,338,0.1,27,4.5,2000,-16.7,1.09,0,0,Winter,No Holiday,Yes
2017-12-04,2017-12-04T15:00:00Z,4,15,341,-0.1,25,5.8,2000,-17.8,0.88,0,0,Winter,No Holiday,Yes
2017-12-04,2017-12-04T16:00:00Z,4,16,375,-0.2,23,4.7,2000,-18.8,0.55,0,0,Winter,No Holiday,Yes
2017-12-04,2017-12-04T17:00:00Z,4,17,515,-1.3,26,5.3,2000,-18.3,0.18,0,0,Winter,No Holiday,Yes
2017-12-04,2017-12-04T18:00:00Z,4,18,807,-2.1,29,3.9,2000,-17.7,0,0,0,Winter,No Holiday,Yes
2017-12-04,2017-12-04T19:00:00Z,4,19,568,-2.9,32,3.2,2000,-17.3,0,0,0,Winter,No Holiday,Yes
2017-12-04,2017-12-04T20:00:00Z,4,20,398,-3.6,38,3,2000,-15.8,0,0,0,Winter,No Holiday,Yes
2017-12-04,2017-12-04T21:00:00Z,4,21,397,-4.6,43,4.5,2000,-15.3,0,0,0,Winter,No Holiday,Yes
2017-12-04,2017-12-04T22:00:00Z,4,22,353,-5.3,45,2.5,2000,-15.3,0,0,0,Winter,No Holiday,Yes
2017-12-04,2017-12-04T23:00:00Z,4,23,248,-5.8,44,2.4,2000,-16.1,0,0,0,Winter,No Holiday,Yes
2017-12-05,2017-12-05T00:00:00Z,5,0,216,-6.1,42,2.6,2000,-16.9,0,0,0,Winter,No Holiday,Yes
2017-12-05,2017-12-05T01:00:00Z,5,1,198,-6.5,41,2.8,2000,-17.6,0,0,0,Winter,No Holiday,Yes
2017-12-05,2017-12-05T02:00:00Z,5,2,124,-6.8,41,2.5,2000,-17.8,0,0,0,Winter,No Holiday,Yes
2017-12-05,2017-12-05T03:00:00Z,5,3,62,-6.9,39,2,2000,-18.5,0,0,0,Winter,No Holiday,Yes
2017-12-05,2017-12-05T04:00:00Z,5,4,42,-7.2,34,3,2000,-20.4,0,0,0,Winter,No Holiday,Yes
2017-12-05,2017-12-05T05:00:00Z,5,5,82,-7.4,33,2.6,2000,-20.9,0,0,0,Winter,No Holiday,Yes
2017-12-05,2017-12-05T06:00:00Z,5,6,172,-7.4,34,3.2,2000,-20.6,0,0,0,Winter,No Holiday,Yes
2017-12-05,2017-12-05T07:00:00Z,5,7,381,-7.5,33,2.2,2000,-21,0,0,0,Winter,No Holiday,Yes
2017-12-05,2017-12-05T08:00:00Z,5,8,812,-8.1,36,1.6,2000,-20.5,0.01,0,0,Winter,No Holiday,Yes
2017-12-05,2017-12-05T09:00:00Z,5,9,462,-7.6,31,1.3,1974,-21.8,0.21,0,0,Winter,No Holiday,Yes
2017-12-05,2017-12-05T10:00:00Z,5,10,269,-5.5,26,2.8,1967,-22,0.64,0,0,Winter,No Holiday,Yes
2017-12-05,2017-12-05T11:00:00Z,5,11,334,-3.9,25,0,1959,-21,0,0,0,Winter,No Holiday,Yes
2017-12-05,2017-12-05T12:00:00Z,5,12,321,-2.3,25,0,1962,-19.7,0,0,0,Winter,No Holiday,Yes
2017-12-05,2017-12-05T13:00:00Z,5,13,325,-1.6,27,0,1955,-18.2,0,0,0,Winter,No Holiday,Yes
2017-12-05,2017-12-05T14:00:00Z,5,14,334,-1.1,28,0,2000,-17.3,0,0,0,Winter,No Holiday,Yes
2017-12-05,2017-12-05T15:00:00Z,5,15,353,-0.7,28,0,2000,-16.9,0,0,0,Winter,No Holiday,Yes
2017-12-05,2017-12-05T16:00:00Z,5,16,435,-0.5,30,0,2000,-16,0,0,0,Winter,No Holiday,Yes
2017-12-05,2017-12-05T17:00:00Z,5,17,529,-1.6,35,0,2000,-15.1,0,0,0,Winter,No Holiday,Yes
2017-12-05,2017-12-05T18:00:00Z,5,18,789,-2.6,40,0,2000,-14.4,0,0,0,Winter,No Holiday,Yes
2017-12-05,2017-12-05T19:00:00Z,5,19,597,-3.2,45,0,2000,-13.5,0,0,0,Winter,No Holiday,Yes
2017-12-05,2017-12-05T20:00:00Z,5,20,418,-3.5,46,0,2000,-13.4,0,0,0,Winter,No Holiday,Yes
2017-12-05,2017-12-05T21:00:00Z,5,21,415,-3.7,47,0,2000,-13.3,0,0,0,Winter,No Holiday,Yes
2017-12-05,2017-12-05T22:00:00Z,5,22,393,-2.8,49,0,2000,-12,0,0,0,Winter,No Holiday,Yes
2017-12-05,2017-12-05T23:00:00Z,5,23,244,-2.5,59,0,1210,-9.4,0,0,0,Winter,No Holiday,Yes
2017-12-06,2017-12-06T00:00:00Z,6,0,145,-2.8,77,0,331,-6.2,0,0.1,0.1,Winter,No Holiday,Yes
2017-12-06,2017-12-06T01:00:00Z,6,1,144,-3,79,0,293,-6.1,0,0,0.3,Winter,No Holiday,Yes
