year,age,education,jobclass,health,health_ins,wage
2006,18,1. < HS Grad,1. Industrial,1. <=Good,2. No,75.04315401735154
2004,24,4. College Grad,2. Information,2. >=Very Good,2. No,70.47601964694451
2003,45,3. Some College,1. Industrial,1. <=Good,1. Yes,130.98217737746066
2003,43,4. College Grad,2. Information,2. >=Very Good,1. Yes,154.68529299563002
2005,50,2. HS Grad,2. Information,1. <=Good,1. Yes,75.04315401735154
2008,54,4. College Grad,2. Information,2. >=Very Good,1. Yes,127.11574381218446
2009,44,3. Some College,1. Industrial,2. >=Very Good,1. Yes,169.5285380366795
2008,30,3. Some College,2. Information,1. <=Good,1. Yes,111.7208493609888
2006,41,3. Some College,2. Information,2. >=Very Good,1. Yes,118.88435933988579
2004,52,2. HS Grad,2. Information,2. >=Very Good,1. Yes,128.68048822062414
2007,45,3. Some College,2. Information,1. <=Good,1. Yes,117.14681691480487
2007,34,2. HS Grad,1. Industrial,2. >=Very Good,2. No,81.28325328425272
2005,35,2. HS Grad,2. Information,2. >=Very Good,1. Yes,89.49247951800011
2003,39,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,134.70537511887878
2009,54,2. HS Grad,2. Information,2. >=Very Good,1. Yes,134.70537511887878
2009,51,3. Some College,1. Industrial,2. >=Very Good,1. Yes,90.48191335664015
2003,37,4. College Grad,1. Industrial,2. >=Very Good,2. No,82.6796372966372
2006,50,5. Advanced Degree,2. Information,2. >=Very Good,2. No,212.84235231571145
2007,56,4. College Grad,1. Industrial,1. <=Good,1. Yes,129.15669300470367
2003,37,3. Some College,1. Industrial,2. >=Very Good,1. Yes,98.59934386038917
2003,38,4. College Grad,2. Information,2. >=Very Good,2. No,200.543262324662
2005,40,2. HS Grad,2. Information,2. >=Very Good,2. No,50.40666086126597
2009,75,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,85.38394037898266
2007,40,4. College Grad,2. Information,2. >=Very Good,2. No,160.6424754082633
2006,38,2. HS Grad,1. Industrial,1. <=Good,2. No,94.07271474570051
2005,49,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,277.6014175110086
2006,43,2. HS Grad,1. Industrial,1. <=Good,1. Yes,84.04595765399237
2004,34,2. HS Grad,1. Industrial,1. <=Good,1. Yes,65.1108537153447
2008,57,2. HS Grad,1. Industrial,2. >=Very Good,2. No,116.26532406250342
2003,18,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,70.47601964694451
2004,55,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,195.67630799045318
2005,51,3. Some College,2. Information,2. >=Very Good,1. Yes,101.4020523029919
2008,33,5. Advanced Degree,1. Industrial,2. >=Very Good,2. No,81.28325328425272
2005,34,2. HS Grad,1. Industrial,2. >=Very Good,2. No,111.7208493609888
2006,36,4. College Grad,2. Information,2. >=Very Good,1. Yes,89.88004678111064
2003,56,5. Advanced Degree,2. Information,1. <=Good,1. Yes,87.98103278560542
2006,70,4. College Grad,1. Industrial,1. <=Good,1. Yes,87.98103278560542
2004,25,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,103.90247060316008
2006,32,3. Some College,1. Industrial,2. >=Very Good,2. No,105.92781077506274
2003,27,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,66.2294082943902
2004,28,4. College Grad,1. Industrial,2. >=Very Good,2. No,34.6074177301288
2007,27,4. College Grad,2. Information,2. >=Very Good,1. Yes,109.83398564219921
2004,43,1. < HS Grad,1. Industrial,1. <=Good,2. No,45.28216999402201
2005,50,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,73.77574327469462
2004,39,2. HS Grad,2. Information,2. >=Very Good,2. No,81.28325328425272
2008,52,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,154.68529299563002
2009,35,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,267.90108685527514
2007,57,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,176.9896504898766
2006,25,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,66.2294082943902
2006,33,2. HS Grad,2. Information,1. <=Good,1. Yes,116.26532406250342
2005,57,5. Advanced Degree,2. Information,2. >=Very Good,2. No,200.543262324662
2008,71,3. Some College,1. Industrial,2. >=Very Good,1. Yes,101.82435207567953
2004,43,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,272.2947832200641
2003,23,3. Some College,1. Industrial,2. >=Very Good,2. No,35.03342132149954
2009,30,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,114.47571329034717
2004,22,2. HS Grad,2. Information,2. >=Very Good,1. Yes,81.28325328425272
2006,59,5. Advanced Degree,2. Information,1. <=Good,1. Yes,200.543262324662
2003,28,4. College Grad,2. Information,2. >=Very Good,1. Yes,148.4131591025766
2004,61,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,99.68946369848636
2003,34,2. HS Grad,2. Information,2. >=Very Good,1. Yes,111.7208493609888
2005,43,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,152.83880099118213
2006,54,3. Some College,1. Industrial,2. >=Very Good,2. No,117.14681691480487
2005,69,2. HS Grad,1. Industrial,1. <=Good,1. Yes,77.73760330397812
2004,41,3. Some College,1. Industrial,1. <=Good,1. Yes,87.98103278560542
2003,48,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,125.52549843383584
2003,49,3. Some College,2. Information,2. >=Very Good,1. Yes,123.33610396205889
2009,42,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,158.2946214277908
2003,37,4. College Grad,2. Information,2. >=Very Good,1. Yes,200.543262324662
2004,55,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,99.68946369848636
2008,21,2. HS Grad,1. Industrial,2. >=Very Good,2. No,70.47601964694451
2004,58,2. HS Grad,2. Information,2. >=Very Good,1. Yes,94.07271474570051
2006,31,2. HS Grad,1. Industrial,2. >=Very Good,2. No,81.28325328425272
2006,25,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,81.28325328425272
2006,32,3. Some College,2. Information,2. >=Very Good,1. Yes,100.76427284210669
2009,40,1. < HS Grad,2. Information,2. >=Very Good,1. Yes,94.07271474570051
2003,44,5. Advanced Degree,2. Information,2. >=Very Good,2. No,99.68946369848636
2003,60,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,268.26629201255724
2006,23,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,81.28325328425272
2003,63,2. HS Grad,2. Information,2. >=Very Good,2. No,113.56708956975103
2008,44,1. < HS Grad,1. Industrial,1. <=Good,2. No,87.98103278560542
2005,47,5. Advanced Degree,2. Information,1. <=Good,1. Yes,128.68048822062414
2004,61,3. Some College,1. Industrial,2. >=Very Good,1. Yes,106.72397762529879
2009,55,5. Advanced Degree,2. Information,2. >=Very Good,2. No,66.04469423180564
2003,24,1. < HS Grad,1. Industrial,1. <=Good,2. No,51.521956314716036
2007,42,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,85.38394037898266
2006,25,2. HS Grad,2. Information,2. >=Very Good,1. Yes,76.89360251761123
2004,34,2. HS Grad,1. Industrial,2. >=Very Good,2. No,90.48191335664015
2009,53,1. < HS Grad,2. Information,2. >=Very Good,2. No,68.0764282889521
2009,53,4. College Grad,2. Information,2. >=Very Good,1. Yes,130.98217737746066
2009,70,5. Advanced Degree,2. Information,1. <=Good,2. No,127.90123297911782
2004,47,4. College Grad,2. Information,2. >=Very Good,1. Yes,131.22459375509612
2003,46,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,99.68946369848636
2003,33,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,76.89360251761123
2005,34,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,107.90392386687648
2006,22,2. HS Grad,1. Industrial,1. <=Good,2. No,81.28325328425272
2009,74,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,99.68946369848636
2003,40,3. Some College,2. Information,1. <=Good,1. Yes,98.59934386038917
2006,45,4. College Grad,2. Information,2. >=Very Good,1. Yes,200.543262324662
2009,43,4. College Grad,2. Information,2. >=Very Good,1. Yes,156.50351088263324
2005,33,4. College Grad,2. Information,2. >=Very Good,1. Yes,144.94436498051633
2009,62,4. College Grad,2. Information,2. >=Very Good,1. Yes,118.88435933988579
2008,37,4. College Grad,2. Information,2. >=Very Good,1. Yes,121.43031382262248
2004,54,2. HS Grad,2. Information,1. <=Good,1. Yes,111.7208493609888
2005,34,3. Some College,1. Industrial,2. >=Very Good,2. No,68.74808773376687
2008,50,4. College Grad,2. Information,2. >=Very Good,1. Yes,114.47571329034717
2006,46,3. Some College,1. Industrial,1. <=Good,1. Yes,95.23071256698191
2007,41,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,87.98103278560542
2003,63,3. Some College,1. Industrial,1. <=Good,1. Yes,64.27439722063265
2007,38,3. Some College,1. Industrial,1. <=Good,1. Yes,128.68048822062414
2006,35,3. Some College,1. Industrial,2. >=Very Good,1. Yes,114.47571329034717
2009,29,4. College Grad,2. Information,1. <=Good,1. Yes,112.64889634210017
2008,66,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,81.28325328425272
2004,37,2. HS Grad,2. Information,1. <=Good,1. Yes,75.89548482281027
2006,39,2. HS Grad,2. Information,2. >=Very Good,1. Yes,112.13692299221415
2003,42,2. HS Grad,1. Industrial,2. >=Very Good,2. No,85.38394037898266
2007,51,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,94.07271474570051
2009,55,5. Advanced Degree,1. Industrial,1. <=Good,1. Yes,114.47571329034717
2006,51,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,176.9896504898766
2008,38,5. Advanced Degree,1. Industrial,1. <=Good,1. Yes,276.778413321176
2005,49,2. HS Grad,2. Information,2. >=Very Good,1. Yes,101.82435207567953
2006,42,2. HS Grad,2. Information,2. >=Very Good,2. No,91.69922611170422
2009,43,1. < HS Grad,2. Information,1. <=Good,2. No,86.69515482894022
2006,38,4. College Grad,2. Information,2. >=Very Good,1. Yes,162.94646074466428
2008,59,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,139.21378813866397
2009,57,3. Some College,1. Industrial,1. <=Good,1. Yes,95.23071256698191
2005,25,2. HS Grad,1. Industrial,1. <=Good,2. No,66.9616443217359
2004,49,4. College Grad,1. Industrial,1. <=Good,1. Yes,131.19432361168697
2004,41,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,90.48191335664015
2009,38,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,114.47571329034717
2003,61,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,79.12808449562974
2007,49,2. HS Grad,1. Industrial,1. <=Good,1. Yes,104.5917379249181
2008,52,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,132.48782112612304
2007,43,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,141.7751723331802
2008,60,4. College Grad,2. Information,2. >=Very Good,1. Yes,123.08969984794346
2005,46,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,134.70537511887878
2004,21,2. HS Grad,2. Information,2. >=Very Good,2. No,55.76739050849227
2009,61,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,106.92181409121146
2007,32,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,118.88435933988579
2004,58,2. HS Grad,2. Information,1. <=Good,1. Yes,87.98103278560542
2003,35,2. HS Grad,2. Information,2. >=Very Good,1. Yes,88.92960663679132
2004,26,2. HS Grad,2. Information,2. >=Very Good,1. Yes,81.28325328425272
2006,32,2. HS Grad,1. Industrial,2. >=Very Good,2. No,94.07271474570051
2003,37,2. HS Grad,2. Information,2. >=Very Good,1. Yes,106.92181409121146
2007,22,2. HS Grad,1. Industrial,1. <=Good,2. No,59.097064081589075
2005,51,2. HS Grad,1. Industrial,1. <=Good,2. No,65.1108537153447
2004,44,5. Advanced Degree,2. Information,1. <=Good,1. Yes,120.58943653040211
2005,35,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,157.70052772573715
2004,60,2. HS Grad,2. Information,2. >=Very Good,1. Yes,129.4536445766255
2007,40,4. College Grad,2. Information,2. >=Very Good,1. Yes,176.9896504898766
2004,35,1. < HS Grad,2. Information,2. >=Very Good,2. No,59.097064081589075
2007,35,5. Advanced Degree,2. Information,2. >=Very Good,2. No,94.07271474570051
2008,47,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,134.70537511887878
2003,43,4. College Grad,2. Information,2. >=Very Good,1. Yes,81.28325328425272
2003,33,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,81.28325328425272
2003,60,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,153.45751530896138
2008,38,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,136.87636763518367
2005,53,2. HS Grad,2. Information,2. >=Very Good,2. No,75.04315401735154
2004,55,3. Some College,2. Information,2. >=Very Good,1. Yes,130.2208323587774
2003,57,2. HS Grad,2. Information,1. <=Good,2. No,104.92150653366392
2005,64,4. College Grad,2. Information,1. <=Good,2. No,49.55533812152264
2007,43,2. HS Grad,1. Industrial,1. <=Good,1. Yes,123.90856759795726
2008,35,3. Some College,2. Information,2. >=Very Good,1. Yes,123.08969984794346
2008,54,2. HS Grad,2. Information,2. >=Very Good,2. No,78.15516140793403
2007,45,2. HS Grad,2. Information,1. <=Good,1. Yes,73.77574327469462
2003,58,4. College Grad,2. Information,2. >=Very Good,1. Yes,138.29912692088266
2007,48,4. College Grad,2. Information,1. <=Good,2. No,127.11574381218446
2003,46,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,68.74808773376687
2004,46,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,84.39111474778001
2009,55,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,85.38394037898266
2006,51,3. Some College,1. Industrial,2. >=Very Good,1. Yes,128.68048822062414
2005,49,3. Some College,1. Industrial,2. >=Very Good,1. Yes,70.47601964694451
2008,34,3. Some College,1. Industrial,2. >=Very Good,1. Yes,76.89360251761123
2007,53,3. Some College,1. Industrial,2. >=Very Good,2. No,148.4131591025766
2004,40,3. Some College,1. Industrial,2. >=Very Good,1. Yes,148.4131591025766
2009,50,3. Some College,1. Industrial,2. >=Very Good,1. Yes,175.96088313040124
2006,37,1. < HS Grad,2. Information,1. <=Good,1. Yes,98.59934386038917
2003,39,3. Some College,1. Industrial,2. >=Very Good,1. Yes,145.14360117691106
2004,52,4. College Grad,1. Industrial,1. <=Good,1. Yes,99.68946369848636
2003,50,2. HS Grad,2. Information,2. >=Very Good,1. Yes,141.08887439126974
2006,48,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,123.08969984794346
2006,47,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,129.4536445766255
2005,27,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,111.7208493609888
2006,39,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,103.90247060316008
2009,44,2. HS Grad,2. Information,1. <=Good,1. Yes,118.88435933988579
2003,37,3. Some College,1. Industrial,2. >=Very Good,1. Yes,151.59148423981398
2006,52,2. HS Grad,1. Industrial,1. <=Good,2. No,101.82435207567953
2004,26,3. Some College,1. Industrial,2. >=Very Good,1. Yes,99.68946369848636
2008,39,5. Advanced Degree,1. Industrial,1. <=Good,1. Yes,99.68946369848636
2006,25,2. HS Grad,1. Industrial,1. <=Good,2. No,99.68946369848636
2005,31,4. College Grad,2. Information,2. >=Very Good,2. No,94.07271474570051
2004,58,3. Some College,1. Industrial,1. <=Good,1. Yes,152.21680682710604
2005,30,4. College Grad,2. Information,2. >=Very Good,1. Yes,104.92150653366392
2004,27,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,65.1108537153447
2003,40,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,95.23071256698191
2006,55,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,173.87949331001195
2009,35,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,193.41107053096852
2008,48,2. HS Grad,1. Industrial,1. <=Good,2. No,114.47571329034717
2006,29,4. College Grad,1. Industrial,1. <=Good,1. Yes,160.6424754082633
2005,25,3. Some College,1. Industrial,2. >=Very Good,1. Yes,89.49247951800011
2004,40,3. Some College,1. Industrial,2. >=Very Good,1. Yes,120.58943653040211
2006,27,1. < HS Grad,2. Information,1. <=Good,2. No,73.77574327469462
2006,44,2. HS Grad,2. Information,2. >=Very Good,1. Yes,127.11574381218446
2006,49,3. Some College,2. Information,2. >=Very Good,1. Yes,118.88435933988579
2003,22,3. Some College,1. Industrial,1. <=Good,2. No,34.6074177301288
2007,45,3. Some College,1. Industrial,1. <=Good,1. Yes,114.47571329034717
2007,33,3. Some College,1. Industrial,2. >=Very Good,2. No,85.38394037898266
2007,63,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,318.3424300565288
2006,49,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,141.7751723331802
2005,39,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,130.98217737746066
2007,25,1. < HS Grad,1. Industrial,1. <=Good,2. No,73.77574327469462
2005,29,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,130.98217737746066
2006,37,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,75.04315401735154
2008,35,5. Advanced Degree,2. Information,1. <=Good,1. Yes,154.99026027681182
2009,46,2. HS Grad,1. Industrial,1. <=Good,1. Yes,104.92150653366392
2008,58,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,73.11830692386403
2003,39,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,123.08969984794346
2008,41,4. College Grad,2. Information,2. >=Very Good,1. Yes,157.70052772573715
2008,29,4. College Grad,2. Information,2. >=Very Good,1. Yes,81.28325328425272
2009,37,4. College Grad,2. Information,1. <=Good,1. Yes,107.2560621284292
2009,62,2. HS Grad,2. Information,1. <=Good,2. No,78.98167451629936
2008,27,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,73.77574327469462
2003,37,2. HS Grad,1. Industrial,1. <=Good,1. Yes,94.07271474570051
2006,56,4. College Grad,2. Information,1. <=Good,2. No,99.68946369848636
2004,36,3. Some College,2. Information,2. >=Very Good,1. Yes,176.9896504898766
2005,23,2. HS Grad,2. Information,2. >=Very Good,2. No,73.77574327469462
