"subregion","long","lat","group","order"
"South Island",173.115341186523,-41.279296875,1108,69562
"South Island",173.230865478516,-41.2841796875,1108,69563
"South Island",173.337799072266,-41.2109375,1108,69564
"South Island",173.447265625,-41.1513671875,1108,69565
"South Island",173.5625,-41.10205078125,1108,69566
"South Island",173.737899780273,-40.9889640808105,1108,69567
"South Island",173.783798217773,-40.9723625183105,1108,69568
"South Island",173.897552490234,-40.9507827758789,1108,69569
"South Island",173.947174072266,-40.9241218566895,1108,69570
"South Island",174.00244140625,-40.9177742004395,1108,69571
"South Island",173.952835083008,-40.98486328125,1108,69572
"South Island",173.889846801758,-41.0072250366211,1108,69573
"South Island",173.8798828125,-41.0314445495605,1108,69574
"South Island",173.915145874023,-41.0701179504395,1108,69575
"South Island",173.8603515625,-41.1244163513184,1108,69576
"South Island",173.862396240234,-41.1920890808105,1108,69577
"South Island",173.7978515625,-41.27197265625,1108,69578
"South Island",173.897064208984,-41.2393531799316,1108,69579
"South Island",173.933410644531,-41.1873054504395,1108,69580
"South Island",173.914642333984,-41.1580047607422,1108,69581
"South Island",173.957626342773,-41.0999031066895,1108,69582
"South Island",174.024032592773,-41.072265625,1108,69583
"South Island",173.99755859375,-41.0281257629395,1108,69584
"South Island",173.999404907227,-40.9932632446289,1108,69585
"South Island",174.08056640625,-41.0061492919922,1108,69586
"South Island",174.121185302734,-41.0046882629395,1108,69587
"South Island",174.153228759766,-40.9909210205078,1108,69588
"South Island",174.211822509766,-40.9854469299316,1108,69589
"South Island",174.223815917969,-41.0244140625,1108,69590
"South Island",174.302536010742,-41.01953125,1108,69591
"South Island",174.27392578125,-41.0687484741211,1108,69592
"South Island",174.213668823242,-41.1255874633789,1108,69593
"South Island",174.199508666992,-41.16015625,1108,69594
"South Island",174.103118896484,-41.2173843383789,1108,69595
"South Island",174.03857421875,-41.2418937683105,1108,69596
"South Island",174.138092041016,-41.2482414245605,1108,69597
"South Island",174.283584594727,-41.1715812683105,1108,69598
"South Island",174.3701171875,-41.1037101745605,1108,69599
"South Island",174.367568969727,-41.1883811950684,1108,69600
"South Island",174.297256469727,-41.2642555236816,1108,69601
"South Island",174.237121582031,-41.3122062683105,1108,69602
"South Island",174.169540405273,-41.3270492553711,1108,69603
